Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-4306.561	-4589.945	283.384	3.316649	0.123424	0.416374	0.106812	0.353389	0.6322257	12.93988	5.250609	0.308152	0.206872	0.170095	0.314881
6	-4306.207	-4588.559	282.3524	3.778397	0.151541	0.511227	0.121009	0.216222	0.835922	13.24046	5.250609	0.29162	0.118971	0.212591	0.376818
12	-4327.45	-4608.634	281.1841	3.346522	0.0949926	0.612093	0.144885	0.14803	0.7573351	13.61352	7.289967	0.401168	0.0847157	0.238351	0.275765
18	-4323.609	-4601.405	277.7959	3.189189	0.053423	0.612784	0.0124242	0.321368	0.9227236	15.75169	5.116494	0.21574	0.102497	0.272981	0.408782
24	-4319.915	-4601.266	281.3513	2.910001	0.0614022	0.599161	0.0252134	0.314224	0.5869579	14.66782	3.177623	0.131355	0.197113	0.350614	0.320917
30	-4312.75	-4600.954	288.205	2.910001	0.0799588	0.563028	0.0818732	0.27514	0.8995216	11.42399	1.79854	0.116089	0.278996	0.520427	0.0844878
36	-4307.152	-4591.104	283.9522	1.706357	0.0342473	0.570368	0.190931	0.204454	0.784271	14.31411	1.390271	0.087348	0.51044	0.338642	0.0635705
42	-4312.373	-4590.806	278.4329	9.344431	0.392245	0.149321	0.0680205	0.390414	0.7614051	12.86859	14.62116	0.510194	0.0368487	0.157387	0.29557
48	-4309.449	-4587.602	278.1529	11.3606	0.207877	0.17512	0.365149	0.251853	0.7359732	12.86859	13.55853	0.479149	0.0901675	0.0906968	0.339987
54	-4309.135	-4594.761	285.626	3.91778	0.0957889	0.199901	0.416819	0.287491	0.7454983	11.6193	4.916761	0.230947	0.241305	0.363876	0.163872
60	-4306.842	-4591.299	284.4573	2.409383	0.144228	0.466856	0.304406	0.084509	0.7658018	13.98456	0.9962699	0.0475893	0.390174	0.524501	0.0377364
66	-4316.771	-4597.69	280.9199	3.635464	0.0142573	0.590024	0.0986524	0.297066	0.7168378	13.98456	5.725293	0.064367	0.52773	0.183767	0.224135
72	-4309.705	-4590.649	280.9448	1.760413	0.0180061	0.684239	0.104286	0.193468	0.6618242	15.35352	2.852583	0.0934286	0.529003	0.104909	0.272659
78	-4312.44	-4589.357	276.9173	4.615655	0.256632	0.320514	0.123585	0.299269	0.6317904	15.57856	7.161383	0.112753	0.638418	0.0579702	0.190859
84	-4315.004	-4597.688	282.6836	8.622908	0.421254	0.184182	0.0582269	0.336337	0.5833672	13.25742	1.754741	0.0606902	0.587513	0.132936	0.218861
90	-4331.479	-4611.913	280.434	16.40259	0.168735	0.115887	0.313479	0.401899	0.8665408	13.25146	1.988118	0.107242	0.278633	0.593957	0.0201673
96	-4335.648	-4620.843	285.1946	9.379362	0.377111	0.0584435	0.247341	0.317105	1.102222	11.61547	1.636874	0.102769	0.324716	0.56918	0.00333486
102	-4335.496	-4624.139	288.6434	2.512484	0.206566	0.570393	0.0669137	0.156127	1.014123	11.66159	0.957116	0.0745316	0.395724	0.510677	0.019067
108	-4320.743	-4611.028	290.2849	1.532018	0.0798614	0.633285	0.118128	0.168726	1.020323	11.14862	1.026443	0.0174799	0.560672	0.408989	0.0128593
114	-4330.685	-4608.781	278.0953	4.845675	0.409717	0.10303	0.122945	0.364308	0.6642432	15.07001	6.23316	0.363408	0.121589	0.0765524	0.43845
120	-4324.158	-4607.918	283.7603	3.518503	0.0790947	0.56891	0.0552012	0.296794	0.9252886	13.43973	2.059914	0.0619282	0.51563	0.322924	0.099518
126	-4332.763	-4615.714	282.9514	3.817227	0.120104	0.443809	0.0181621	0.417925	0.8359041	14.04589	1.521739	0.079166	0.447457	0.346158	0.127219
132	-4318.13	-4601.749	283.6186	2.690204	0.157406	0.577717	0.00276869	0.262109	0.7951579	13.9236	1.832051	0.0653796	0.369534	0.460022	0.105064
138	-4301.049	-4583.168	282.1191	3.98018	0.136531	0.567808	0.0010716	0.294589	0.8814505	13.86095	3.013719	0.197059	0.311121	0.460056	0.0317633
144	-4312.314	-4592.649	280.3348	14.93576	0.476239	0.163579	0.000960475	0.359222	0.7274161	12.64035	5.009425	0.279779	0.0219512	0.653174	0.0450965
150	-4312.596	-4593.14	280.5446	7.113386	0.346797	0.334295	0.0223325	0.296576	0.7541226	13.55486	5.009425	0.21994	0.0229702	0.683494	0.0735958
156	-4314.402	-4599.916	285.5143	7.344376	0.385391	0.27031	0.0147168	0.329582	0.9049431	11.65923	2.172823	0.109143	0.391932	0.456715	0.0422093
162	-4307.267	-4588.284	281.0175	6.861167	0.343875	0.382397	0.00693398	0.266794	0.7540216	14.15205	2.201518	0.0622852	0.459717	0.363119	0.11488
168	-4315.706	-4599.498	283.7922	6.861167	0.440494	0.218645	0.0310702	0.309791	0.8388017	12.17336	3.764072	0.0836009	0.286915	0.47529	0.154194
174	-4307.651	-4588.768	281.1177	6.861167	0.442865	0.198273	0.0281752	0.330687	0.7942524	13.50661	4.072333	0.113321	0.433219	0.220639	0.232821
180	-4306.086	-4587.439	281.3534	7.532747	0.331512	0.180067	0.197691	0.29073	0.7987541	13.21597	4.261687	0.254785	0.165707	0.307992	0.271516
186	-4324.148	-4606.627	282.4789	5.446116	0.447016	0.175324	0.145378	0.232281	0.8911887	12.39982	7.013603	0.264398	0.173401	0.204595	0.357607
192	-4307.071	-4587.668	280.5968	5.237633	0.322196	0.335346	0.202287	0.140171	0.8506756	13.64672	5.944403	0.249487	0.150004	0.232791	0.367718
198	-4313.455	-4596.331	282.8767	4.447666	0.323463	0.0403302	0.554828	0.0813794	0.7833935	12.50958	6.828277	0.410618	0.075033	0.187844	0.326505
204	-4324.26	-4605.396	281.1364	4.997202	0.253411	0.27196	0.126934	0.347695	0.6466451	13.35718	6.828277	0.148196	0.385991	0.120634	0.345179
210	-4314.706	-4601.631	286.9244	2.071817	0.236075	0.310791	0.251085	0.202049	0.7663765	12.01282	3.03871	0.169774	0.0594615	0.72255	0.0482153
216	-4328.144	-4611.163	283.0191	2.071817	0.092336	0.527321	0.225847	0.154496	0.9152888	14.22704	2.259812	0.10606	0.209462	0.654357	0.0301208
222	-4333.506	-4620.13	286.6236	2.41996	0.201427	0.432763	0.228704	0.137106	1.073312	12.25993	1.95466	0.0878181	0.190056	0.687323	0.0348038
228	-4336.169	-4622.592	286.4234	3.487007	0.257987	0.290117	0.211027	0.240869	0.989089	11.85115	2.549843	0.289422	0.105093	0.497656	0.107829
234	-4321.161	-4602.072	280.9115	1.321776	0.0603575	0.433864	0.424605	0.0811732	0.7099671	14.9232	5.210979	0.224003	0.167521	0.286344	0.322132
240	-4314.131	-4595.867	281.7355	1.703446	0.147995	0.313254	0.522747	0.0160028	0.6731548	14.34574	5.210979	0.192269	0.438044	0.093191	0.276496
246	-4314.704	-4598.329	283.6247	2.108011	0.158346	0.439313	0.357863	0.0444782	0.742685	12.40211	9.578683	0.456173	0.0302806	0.176948	0.336598
252	-4317.88	-4598.159	280.2785	2.094901	0.109023	0.176069	0.65788	0.0570291	0.7109748	14.26914	8.850224	0.386204	0.0136053	0.37205	0.22814
258	-4304.021	-4587.541	283.5204	3.331287	0.201831	0.493562	0.0880486	0.216559	0.7523155	12.20502	8.506566	0.294381	0.0135311	0.465193	0.226896
264	-4311.713	-4593.083	281.3698	4.112514	0.180362	0.288988	0.238625	0.292024	0.6818096	13.5096	6.398903	0.318919	0.0676809	0.421568	0.191832
270	-4315.265	-4597.684	282.4188	2.362917	0.249759	0.192475	0.166737	0.391028	0.7817851	13.81909	4.599702	0.185086	0.114196	0.647763	0.0529545
276	-4308.166	-4592.158	283.9915	2.362917	0.218232	0.153861	0.475864	0.152043	0.626241	13.43489	3.268758	0.311549	0.111608	0.491809	0.0850337
282	-4320.608	-4601.275	280.6672	3.9153	0.0774163	0.0327435	0.819247	0.0705928	0.6521126	14.67214	3.268758	0.253335	0.145304	0.511544	0.0898173
288	-4308.713	-4591.446	282.7327	5.375893	0.325425	0.156014	0.300579	0.217982	0.6920341	12.65881	5.603248	0.215803	0.115309	0.566151	0.102736
294	-4316.455	-4596.284	279.8294	10.83252	0.381811	0.111415	0.413249	0.0935258	0.7857784	13.19931	5.698928	0.320036	0.150566	0.374223	0.155176
300	-4317.729	-4598.018	280.2888	4.922492	0.343583	0.164195	0.33142	0.160802	0.7624354	13.8198	6.472939	0.145593	0.388932	0.254632	0.210844
306	-4325.417	-4607.798	282.3804	4.922492	0.158724	0.218643	0.52775	0.0948836	0.8142476	13.41024	3.418946	0.196208	0.183432	0.339741	0.28062
312	-4312.092	-4597.989	285.8974	1.995728	0.0932658	0.375564	0.270589	0.260581	0.825372	11.35386	8.65376	0.449779	0.185702	0.0583951	0.306124
318	-4323.343	-4604.716	281.3729	7.391285	0.114077	0.416004	0.307234	0.162685	0.8938882	12.75595	6.191984	0.204439	0.356658	0.134934	0.303969
324	-4324.342	-4606.982	282.6397	2.442996	0.195833	0.277767	0.232581	0.293819	0.8570831	13.46127	5.379535	0.274535	0.377906	0.181199	0.16636
330	-4331.059	-4615.327	284.2682	3.470072	0.181889	0.487389	0.0639864	0.266735	0.9323824	13.05304	2.421024	0.126382	0.288511	0.566093	0.019014
336	-4309.242	-4596.979	287.7366	1.817197	0.17137	0.337988	0.305671	0.184972	0.8823021	12.03487	1.889129	0.0086974	0.644471	0.332319	0.0145131
342	-4327.268	-4612.275	285.0075	1.447766	0.0324727	0.416931	0.4096	0.140996	0.7391703	11.93297	9.754323	0.184687	0.468468	0.00157071	0.345274
348	-4318.786	-4601.644	282.8579	1.406143	0.00428754	0.679775	0.191216	0.124721	0.7347972	13.47267	7.211636	0.0289156	0.545142	0.00161037	0.424332
354	-4326.535	-4607.874	281.3396	4.270413	0.0016326	0.688017	0.15907	0.15128	0.7556522	13.29876	7.211636	0.0538312	0.531553	0.000889002	0.413727
360	-4321.269	-4602.783	281.5136	4.270413	0.00307797	0.469335	0.352685	0.174902	0.7815793	12.63581	10.93454	0.178839	0.483419	0.000825039	0.336918
366	-4334.04	-4619.066	285.026	4.270413	0.00684851	0.444435	0.336107	0.21261	0.9672075	11.9939	3.834048	0.187596	0.474522	0.00716539	0.330717
372	-4341.62	-4624.499	282.8784	4.667199	0.154013	0.131394	0.42793	0.286663	0.8711707	12.76238	5.078895	0.312712	0.168195	0.0984712	0.420622
378	-4339.166	-4621.816	282.6502	3.909022	0.384347	0.0755569	0.269569	0.270527	0.9228036	12.50922	7.880983	0.359299	0.125713	0.0738653	0.441122
384	-4320.875	-4603.802	282.9266	2.702289	0.366617	0.423295	0.0186475	0.19144	0.8048592	13.91672	2.820075	0.217802	0.0922916	0.618285	0.0716214
390	-4315.593	-4598.702	283.1089	4.189725	0.370244	0.413363	0.0294448	0.186948	0.7025029	12.96315	4.575026	0.209629	0.0888283	0.595083	0.10646
396	-4307.628	-4589.758	282.1308	2.815727	0.255968	0.364451	0.0316294	0.347952	0.6414906	13.88818	4.59838	0.272422	0.0742252	0.515003	0.138349
402	-4326.243	-4603.965	277.7221	4.081855	0.133497	0.444743	0.0670817	0.354678	0.8517273	14.36942	12.95879	0.351851	0.237005	0.135862	0.275282
408	-4330.967	-4608.157	277.19	38.31408	0.0475007	0.271102	0.557352	0.124045	0.8915313	12.49288	5.375942	0.37585	0.141998	0.0522358	0.429916
414	-4318.603	-4598.251	279.648	2.648431	0.182615	0.45278	0.11737	0.247236	0.5550593	15.27322	4.59838	0.393294	0.17966	0.11444	0.312605
420	-4320.334	-4597.964	277.6301	5.910831	0.173049	0.505609	0.131064	0.190278	0.5674604	15.27322	5.534749	0.258212	0.30981	0.130721	0.301257
426	-4315.494	-4596.269	280.7759	6.961878	0.312845	0.3006	0.133487	0.253068	0.6070811	13.08529	7.311927	0.335634	0.325905	0.0215535	0.316908
432	-4315.407	-4595.033	279.6258	3.014301	0.25062	0.265247	0.260827	0.223305	0.8357213	14.47662	7.311927	0.286751	0.320794	0.0249918	0.367463
438	-4327.882	-4607.135	279.2526	3.742566	0.257435	0.27246	0.26792	0.202184	0.5967278	15.04139	4.97737	0.3406	0.197059	0.0824172	0.379924
444	-4326	-4606.02	280.0208	3.609483	0.202148	0.407452	0.310669	0.0797315	0.7360296	14.49234	5.510352	0.250856	0.322877	0.208133	0.218134
450	-4327.287	-4607.698	280.4111	1.825488	0.0379341	0.598375	0.173922	0.189769	0.8778808	14.30957	8.270905	0.215151	0.253983	0.348691	0.182175
456	-4324.851	-4606.714	281.8627	2.303697	0.055939	0.54842	0.219247	0.176394	0.7806167	14.30957	3.879768	0.170616	0.201411	0.557395	0.0705777
462	-4314.659	-4598.043	283.3844	4.682573	0.191467	0.18022	0.356812	0.271501	0.7446138	13.05193	3.174857	0.209112	0.185769	0.474958	0.130161
468	-4314.661	-4600.257	285.5967	1.367248	0.055052	0.681894	0.104581	0.158473	0.5913722	13.05193	3.174857	0.190743	0.16945	0.52108	0.118727
474	-4333.369	-4618.5	285.1302	2.195856	0.0969618	0.538224	0.167788	0.197026	0.7180693	13.53768	1.404216	0.0613369	0.464219	0.346335	0.128109
480	-4333.148	-4615.911	282.7632	9.836947	0.0563775	0.557734	0.185382	0.200507	0.7539101	13.17451	1.251569	0.0148561	0.514521	0.321682	0.148942
486	-4318.956	-4602.392	283.4358	5.614051	0.0720083	0.450622	0.200469	0.276901	0.7721191	13.17451	2.08153	0.0505757	0.420415	0.392339	0.13667
492	-4327.106	-4612.044	284.9384	2.833083	0.0498342	0.710646	0.138737	0.100783	0.8939066	12.67695	3.158647	0.0782025	0.496459	0.176274	0.249064
498	-4334.111	-4618.469	284.3584	1.295154	0.0463819	0.528187	0.350524	0.0749068	0.7027841	12.95124	6.184367	0.242656	0.267481	0.325127	0.164737
504	-4339.823	-4621.391	281.5685	2.162632	0.0777797	0.559479	0.232891	0.12985	0.657047	14.83391	2.984718	0.218759	0.33839	0.252636	0.190215
510	-4329.282	-4610.899	281.6173	2.183681	0.0739067	0.581415	0.221294	0.123384	0.6591368	15.16285	1.943933	0.0746259	0.411763	0.356597	0.157013
516	-4322.168	-4605.172	283.0048	1.734543	0.0693534	0.678354	0.16114	0.0911523	0.7233125	14.70342	1.663233	0.0374418	0.377853	0.405958	0.178748
522	-4310.137	-4596.967	286.8303	1.488367	0.0748379	0.662557	0.165121	0.0974841	0.7187385	12.52276	2.451543	0.0473594	0.477939	0.248607	0.226095
528	-4318.774	-4605.939	287.165	1.935186	0.14483	0.466666	0.244284	0.14422	0.6812369	11.98036	3.054438	0.0843423	0.52717	0.0170291	0.371459
534	-4322.677	-4607.1	284.423	2.865852	0.116089	0.440449	0.195807	0.247655	0.6494448	12.90227	3.714459	0.0808025	0.721559	0.0149224	0.182716
540	-4311.541	-4597.998	286.4574	4.104522	0.270013	0.375076	0.131898	0.223013	0.7833364	11.57423	3.168725	0.0885788	0.494894	0.158284	0.258244
546	-4314.66	-4603.546	288.8861	2.926775	0.203002	0.195286	0.438263	0.16345	0.9051016	10.79928	2.481354	0.121739	0.504054	0.217538	0.156669
552	-4293.528	-4579.282	285.7532	2.329435	0.0588421	0.514308	0.339648	0.0872024	0.837946	11.90229	5.326788	0.19701	0.260899	0.315134	0.226957
558	-4289.787	-4575.012	285.2259	1.399343	0.075449	0.627442	0.23254	0.0645689	0.7662434	12.28442	6.892462	0.188737	0.36344	0.0222751	0.425548
564	-4302.155	-4584.393	282.2378	3.882704	0.0585603	0.621624	0.208448	0.111368	0.7411384	12.28442	11.68437	0.27645	0.137223	0.0592375	0.527089
570	-4303.502	-4585.276	281.7741	1.559102	0.0814782	0.369781	0.482492	0.0662484	0.736375	13.38887	11.07953	0.104288	0.450305	0.0940803	0.351327
576	-4310.942	-4593.428	282.4852	2.762363	0.0992984	0.284265	0.588019	0.0284166	0.5514914	13.99007	3.724758	0.149239	0.520369	0.0347422	0.29565
582	-4309.869	-4595.286	285.4164	3.393757	0.090278	0.258442	0.619502	0.0317777	0.7140393	12.36676	3.105349	0.129547	0.417579	0.131066	0.321808
588	-4331.852	-4613.35	281.498	3.411532	0.0765805	0.516553	0.146137	0.26073	0.6539389	12.91942	11.09812	0.184047	0.449361	0.106096	0.260497
594	-4328.183	-4611.129	282.9457	1.587222	0.0415756	0.559764	0.184871	0.213789	0.6431102	13.13519	8.795532	0.184047	0.449361	0.106096	0.260497
600	-4341.972	-4622.811	280.8397	13.59009	0.21191	0.371436	0.00843933	0.408215	0.7205999	13.10631	2.833121	0.18286	0.0213398	0.743083	0.052717
606	-4323.507	-4600.812	277.3049	13.07357	0.432409	0.0236231	0.343925	0.200042	0.7943145	14.71511	3.655647	0.238721	0.0195264	0.672932	0.0688212
612	-4312.109	-4591.144	279.0348	4.772896	0.330595	0.00916944	0.557264	0.102971	0.6571505	14.71511	5.677248	0.279922	0.0228965	0.303882	0.393299
618	-4315.902	-4598.151	282.2493	5.017008	0.19658	0.310503	0.416041	0.0768761	0.871642	12.83639	5.892741	0.340133	0.0195607	0.304309	0.335998
