Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-4326.092	-4611.351	285.2592	2.100108	0.0490733	0.562507	0.194297	0.194122	0.9403446	13.73507	0.7278199	0.0396173	0.304795	0.654535	0.00105254
6	-4319.262	-4605.493	286.2317	1.697033	0.0235073	0.676463	0.093073	0.206957	0.737925	13.58978	0.5581072	0.0295859	0.307978	0.661372	0.00106354
12	-4317.949	-4603.856	285.9067	2.682395	0.176869	0.525061	0.163306	0.134765	0.9350749	13.28638	0.5608785	0.0176119	0.509032	0.472585	0.000770516
18	-4317.055	-4601.662	284.6066	2.673288	0.00280904	0.760124	0.04197	0.195097	0.6659379	14.06917	0.6245854	0.00446373	0.553185	0.442294	5.69997e-05
24	-4332.719	-4617.074	284.3546	1.122779	0.00489007	0.75415	0.0339455	0.207014	0.7103028	14.80491	0.6245854	0.0189003	0.419282	0.561752	6.59214e-05
30	-4333.111	-4618.211	285.0998	2.101889	0.0505534	0.654536	0.0367764	0.258135	0.732769	13.91953	0.7373511	0.0164211	0.420341	0.563172	6.60879e-05
36	-4319.24	-4607.663	288.423	2.29726	0.0302293	0.63297	0.084633	0.252168	0.9668083	11.7425	1.223156	0.0140815	0.313359	0.672468	9.13413e-05
42	-4317.685	-4605.003	287.3174	2.639259	0.103607	0.539286	0.0662463	0.29086	0.7518771	12.50165	0.8544124	0.012079	0.411006	0.576837	7.83517e-05
48	-4318.77	-4605.753	286.9828	3.31437	0.17806	0.48267	0.0629375	0.276332	0.7770993	12.46092	0.8360067	0.00805479	0.586316	0.405517	0.000111772
54	-4324.614	-4607.483	282.8683	4.473	0.242194	0.343626	0.222555	0.191625	0.8161347	12.32047	7.806799	0.165343	0.0139457	0.536624	0.284087
60	-4313.76	-4600.47	286.7097	2.661291	0.121328	0.486707	0.287271	0.104694	0.8345677	12.87792	0.6529326	0.00567848	0.517941	0.475727	0.000653656
66	-4325.187	-4614.309	289.1219	2.229362	0.121328	0.486707	0.287271	0.104694	0.8976591	11.62092	0.8691182	0.00552931	0.517996	0.475777	0.000697873
72	-4322.855	-4609.561	286.7056	6.793263	0.163478	0.317006	0.167689	0.351827	0.9200914	11.47634	1.342739	0.00271677	0.519461	0.477123	0.000699847
78	-4327.321	-4610.579	283.2579	4.879396	0.292827	0.0473484	0.245369	0.414455	0.7413448	14.11566	0.6454036	0.0112095	0.389813	0.589579	0.00939751
